1
-10.0 102.92593275807157     0.0
-9.963570127504553 102.5360367057866     0.0
-9.927140255009107 102.06789884262015     -0.07824181088147408
-9.890710382513662 101.75624460121668     0.0
-9.854280510018215 101.36634854893171     0.0
-9.817850637522769 100.97645249664674     0.0
-9.781420765027322 100.58655644436176     0.0
-9.744990892531876 100.1966603920768     0.0
-9.70856102003643 99.80676433979184     0.0
-9.672131147540984 99.41686828750687     0.0
-9.635701275045538 99.0269722352219     0.0
-9.599271402550091 98.63707618293692     0.0
-9.562841530054644 98.24718013065196     0.0
-9.526411657559198 97.85728407836699     0.0
-9.489981785063753 97.46738802608203     0.0
-9.453551912568306 97.07749197379707     0.0
-9.41712204007286 96.68759592151208     0.0
-9.380692167577413 96.29769986922712     0.0
-9.344262295081966 95.90780381694215     0.0
-9.307832422586522 95.5179077646572     0.0
-9.271402550091075 95.12801171237223     0.0
-9.234972677595628 94.73811566008725     0.0
-9.198542805100182 94.34821960780228     0.0
-9.162112932604735 93.95832355551731     0.0
-9.12568306010929 93.56842750323236     0.0
-9.089253187613844 93.17853145094739     0.0
-9.052823315118397 92.78863539866241     0.0
-9.01639344262295 92.39873934637744     0.0
-8.979963570127504 92.00884329409247     0.0
-8.943533697632057 91.61894724180749     0.0
-8.907103825136613 91.22905118952255     0.0
-8.870673952641166 90.83915513723757     0.0
-8.83424408014572 90.4492590849526     0.0
-8.797814207650273 90.05936303266763     0.0
-8.761384335154826 89.66946698038265     0.0
-8.724954462659381 89.27957092809771     0.0
-8.688524590163935 88.88967487581273     0.0
-8.652094717668488 88.49977882352776     0.0
-8.615664845173042 88.1098827712428     0.0
-8.579234972677595 87.71998671895781     0.0
-8.54280510018215 87.33009066667287     0.0
-8.506375227686704 86.94019461438789     0.0
-8.469945355191257 86.55029856210292     0.0
-8.43351548269581 86.16040250981796     0.0
-8.397085610200364 85.77050645753297     0.0
-8.360655737704919 85.38061040524804     0.0
-8.324225865209472 84.99071435296305     0.0
-8.287795992714026 84.60081830067809     0.0
-8.251366120218579 84.21092224839312     0.0
-8.214936247723132 83.82102619610814     0.0
-8.178506375227686 82.87237857446908     -0.5587515693540845
-8.142076502732241 83.04123409153821     0.0
-8.105646630236794 82.65133803925325     0.0
-8.069216757741348 82.26144198696828     0.0
-8.032786885245901 81.87154593468331     0.0
-7.9963570127504555 81.48164988239834     0.0
-7.959927140255009 81.09175383011338     0.0
-7.923497267759563 80.70185777782841     0.0
-7.887067395264117 80.31196172554344     0.0
-7.85063752276867 79.92206567325847     0.0
-7.814207650273224 79.5321696209735     0.0
-7.777777777777778 79.14227356868854     0.0
-7.741347905282331 78.75237751640356     0.0
-7.704918032786885 78.3624814641186     0.0
-7.668488160291439 77.97258541183363     0.0
-7.632058287795993 77.58268935954867     0.0
-7.595628415300546 77.1927933072637     0.0
-7.5591985428051 76.80289725497872     0.0
-7.522768670309654 76.41300120269376     0.0
-7.4863387978142075 76.0231051504088     0.0
-7.449908925318762 75.63320909812383     0.0
-7.413479052823315 75.24331304583886     0.0
